Sl No.,Image,Dice,IoU,Accuracy,Precision,Recall
1.0,12084.jpg,0.35327581895197807,0.21453247788414895,0.4639931088499168,0.22857720699536277,0.7773574523427554
2.0,14037.jpg,0.3767436041725035,0.23209124888767116,0.741866956815423,0.3383612819769568,0.4249479662600999
3.0,16077.jpg,0.3581888294125438,0.21816688534551773,0.49443980284781547,0.24251263666255637,0.6848608709107102
4.0,19021.jpg,0.45600085301789817,0.2953375032034161,0.5373993691715896,0.3261073225960685,0.7578734177023323
5.0,21077.jpg,0.47550371601916436,0.3119087406218577,0.6773077894529355,0.3526316611183563,0.7297961029912496
6.0,24077.jpg,0.5152121944504361,0.3469938212886527,0.6440631861150895,0.44586774966111625,0.6100990264360904
7.0,3096.jpg,0.37245696399168793,0.2288461538351516,0.8961146624639988,0.7859973578622858,0.2440525020383484
8.0,33039.jpg,0.39422482331937814,0.24550437012876236,0.2893957940668169,0.2534376397576903,0.8869152609523038
9.0,37073.jpg,0.7060755768026217,0.5456853307226855,0.8551175186633823,0.7466099810840666,0.6697158524259792
10.0,38082.jpg,0.48687232256940954,0.3217655256932164,0.3979961269655119,0.33426063490847563,0.8959162941711516
11.0,38092.jpg,0.39305117916568016,0.2445947089725048,0.47977668538105467,0.27170631313638904,0.710251788718383
12.0,41033.jpg,0.3168166841261306,0.18822470561481702,0.6495035653872092,0.21542740398277288,0.5984927978346612
13.0,41069.jpg,0.21630057803329286,0.12126515004125517,0.209707191014244,0.12466130679959236,0.8165551352528099
14.0,42012.jpg,0.4717231420184058,0.3086634071273014,0.5924767326598113,0.40031634295566476,0.5741350064259031
15.0,42049.jpg,0.6273138308028884,0.45699726920815864,0.8750785292784692,0.6310694708769945,0.6236026276123237
16.0,43074.jpg,0.322298352486426,0.1921070727707075,0.6880266319474094,0.24757375985631527,0.46163146862559923
17.0,45096.jpg,0.45048875741338734,0.2907295830015293,0.8459919300986004,0.5729148298023327,0.3711728865052866
18.0,54082.jpg,0.554241242592271,0.38335665597906204,0.6461033283421344,0.46529784814517383,0.6852244074496172
19.0,55073.jpg,0.438562466939819,0.2808709651549768,0.36064533260561366,0.29243651588018843,0.8765715584659186
20.0,8023.jpg,0.3260190937971508,0.1947567577318857,0.7119448708187645,0.2029431185698907,0.8284174046339301
10.5,Average,0.43056850150415354,0.28111991666066394,0.6028474556472896,0.37393551913141254,0.6613794913877727
